trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
16,False,"{'a': 0.0075, 'e': 0.9928086358538663}",30,0,-165.26660241434288,"{0: 15, 1: 5, 2: 8, 3: 0, 4: 2}",0
17,False,"{'a': 0.0075, 'e': 0.9918828801044445}",35,0,-97.47496735082284,"{0: 25, 1: 1, 2: 8, 3: 0, 4: 1}",0
18,False,"{'a': 0.0075, 'e': 0.9909013312045479}",20,0,-64.74857260739728,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.0075, 'e': 0.9898640443660435}",20,0,-1.8604586381483843,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.0075, 'e': 0.9887710779360422}",20,0,-118.41868419740052,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
21,False,"{'a': 0.0075, 'e': 0.9876224933936177}",25,0,-74.080058154455,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.0075, 'e': 0.9864183553463477}",25,0,-146.0637361460743,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
23,False,"{'a': 0.0075, 'e': 0.9851587315266797}",25,0,-92.53966200888753,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
24,False,"{'a': 0.0075, 'e': 0.9838436927881214}",20,8,-68.34607963660636,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 1}",1
25,False,"{'a': 0.0075, 'e': 0.9824733131012553}",25,0,-48.1244389232753,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
26,False,"{'a': 0.0075, 'e': 0.9810476695495772}",20,0,-6.521827399055619,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
27,False,"{'a': 0.0075, 'e': 0.9795668423251612}",20,0,-51.477478109886526,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
28,False,"{'a': 0.0075, 'e': 0.9780309147241483}",25,0,-77.15790406734527,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
29,False,"{'a': 0.0075, 'e': 0.9764399731420608}",25,0,-195.65446540058088,"{0: 13, 1: 0, 2: 9, 3: 0, 4: 3}",0
30,False,"{'a': 0.0075, 'e': 0.9747941070689433}",30,0,-196.708826210888,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
31,False,"{'a': 0.0075, 'e': 0.9730934090843285}",20,0,-90.30935689293602,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
32,False,"{'a': 0.0075, 'e': 0.9713379748520297}",20,0,-39.40933359004409,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
33,False,"{'a': 0.0075, 'e': 0.9695279031147593}",30,7,-94.18338933835791,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 1}",1
34,False,"{'a': 0.0075, 'e': 0.9676632956885756}",20,0,-86.80342917961329,"{0: 13, 1: 5, 2: 0, 3: 0, 4: 2}",0
35,False,"{'a': 0.0075, 'e': 0.9657442574571544}",25,0,-61.65818788048438,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
36,False,"{'a': 0.0075, 'e': 0.9637708963658905}",25,0,-87.71933612401493,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
37,False,"{'a': 0.0075, 'e': 0.9617433234158248}",30,0,-177.20715541851456,"{0: 15, 1: 3, 2: 10, 3: 0, 4: 2}",0
38,False,"{'a': 0.0075, 'e': 0.9596616526574011}",25,6,-48.55119755182792,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 0}",1
